Participant,gender,block,Efficiency,Partner_cost,PartnerIntention,Gratitude,Guilt,Obligation,Indebtedness,SOB100,Care,Choice,Allocation
6001,2,2,3,16,Altruistic,76.90 ,0.60 ,0.48 ,0.24 ,0,67.14 ,1,5
6001,2,2,3,18,Altruistic,89.52 ,0.00 ,0.00 ,0.24 ,0,90.12 ,1,5
6001,2,2,3,20,Altruistic,99.88 ,62.02 ,6.67 ,0.00 ,0,98.10 ,1,5
6001,2,1,1,4,Strategic,25.71 ,0.24 ,26.19 ,16.79 ,16,11.31 ,0,2
6001,2,1,1,6,Strategic,6.07 ,0.00 ,7.74 ,0.00 ,24,7.02 ,0,3
6001,2,1,1,8,Strategic,16.55 ,0.00 ,11.55 ,0.00 ,32,10.95 ,0,3
6001,2,1,1,10,Strategic,52.26 ,0.00 ,3.10 ,0.24 ,40,48.57 ,0,4
6001,2,1,1,12,Strategic,55.36 ,0.00 ,11.07 ,0.00 ,48,50.36 ,0,5
6001,2,1,1,14,Strategic,69.29 ,0.00 ,11.55 ,0.00 ,56,51.67 ,0,5
6001,2,1,1,16,Strategic,77.26 ,0.00 ,5.48 ,0.12 ,64,76.90 ,0,5
6001,2,1,1,18,Strategic,79.64 ,1.31 ,6.90 ,0.12 ,72,71.67 ,0,5
6001,2,1,1,20,Strategic,100.00 ,0.00 ,10.71 ,0.00 ,80,78.93 ,0,5
6001,2,1,2,4,Strategic,6.19 ,0.00 ,5.48 ,0.00 ,16,8.45 ,0,4
6001,2,1,2,6,Strategic,6.43 ,0.00 ,5.00 ,0.00 ,24,7.02 ,0,5
6001,2,1,2,8,Strategic,10.12 ,0.00 ,10.12 ,0.00 ,32,6.31 ,1,5
6001,2,1,2,10,Strategic,50.24 ,0.00 ,13.93 ,0.00 ,40,49.88 ,0,5
6001,2,1,2,12,Strategic,55.12 ,0.36 ,10.48 ,0.00 ,48,51.79 ,1,5
6001,2,1,2,14,Strategic,60.24 ,0.00 ,10.71 ,0.00 ,56,52.50 ,0,5
6001,2,1,2,16,Strategic,58.69 ,0.24 ,8.21 ,0.60 ,64,58.69 ,0,5
6001,2,1,2,18,Strategic,84.76 ,0.00 ,9.40 ,0.00 ,72,80.00 ,0,5
6001,2,1,2,20,Strategic,100.00 ,0.00 ,7.26 ,0.12 ,80,98.45 ,0,5
6001,2,1,3,4,Strategic,5.12 ,0.00 ,7.02 ,0.00 ,16,2.86 ,1,2
6001,2,1,3,6,Strategic,14.88 ,0.00 ,11.31 ,0.36 ,24,12.86 ,1,3
6001,2,1,3,8,Strategic,9.52 ,0.24 ,9.64 ,0.00 ,32,15.48 ,1,2
6001,2,1,3,10,Strategic,49.64 ,0.00 ,8.81 ,0.00 ,40,50.36 ,1,5
6001,2,1,3,12,Strategic,49.76 ,0.00 ,20.71 ,0.00 ,48,37.38 ,1,5
6001,2,1,3,14,Strategic,62.50 ,0.00 ,17.98 ,0.00 ,56,61.90 ,1,5
6001,2,1,3,16,Strategic,31.31 ,0.00 ,16.67 ,0.00 ,64,14.76 ,1,6
6001,2,1,3,18,Strategic,75.36 ,0.12 ,11.31 ,0.36 ,72,67.14 ,1,5
6001,2,1,3,20,Strategic,100.00 ,0.00 ,10.24 ,0.00 ,80,87.62 ,1,5
6001,2,2,1,4,Strategic,4.05 ,0.00 ,0.00 ,0.00 ,16,3.93 ,0,5
6001,2,2,1,6,Strategic,16.90 ,0.00 ,0.00 ,0.00 ,24,3.93 ,0,5
6001,2,2,1,8,Strategic,35.36 ,0.00 ,0.00 ,0.00 ,36,36.67 ,0,5
6001,2,2,1,10,Strategic,47.02 ,0.00 ,0.00 ,0.12 ,40,46.19 ,0,5
6001,2,2,1,12,Strategic,50.36 ,0.00 ,0.00 ,0.48 ,48,52.74 ,0,5
6001,2,2,1,14,Strategic,64.17 ,0.00 ,0.60 ,0.24 ,56,70.00 ,0,5
6001,2,2,1,16,Strategic,49.64 ,0.00 ,0.00 ,0.00 ,64,50.00 ,0,5
6001,2,2,1,18,Strategic,53.93 ,0.00 ,0.48 ,0.00 ,76,58.10 ,0,5
6001,2,2,1,20,Strategic,91.07 ,0.00 ,0.36 ,0.36 ,80,92.86 ,0,5
6001,2,2,2,4,Strategic,11.19 ,0.00 ,0.00 ,0.60 ,16,3.93 ,0,4
6001,2,2,2,6,Strategic,11.19 ,0.00 ,0.00 ,0.24 ,24,13.21 ,0,5
6001,2,2,2,8,Strategic,38.45 ,0.00 ,0.00 ,0.12 ,36,39.05 ,0,5
6001,2,2,2,10,Strategic,45.71 ,0.00 ,0.36 ,0.00 ,40,50.36 ,0,5
6001,2,2,2,12,Strategic,56.07 ,4.76 ,3.81 ,6.67 ,44,54.05 ,1,5
6001,2,2,2,14,Strategic,49.76 ,6.90 ,4.64 ,4.17 ,56,56.07 ,1,5
6001,2,2,2,16,Strategic,59.40 ,6.90 ,7.38 ,5.24 ,64,62.98 ,1,5
6001,2,2,2,18,Strategic,84.29 ,0.48 ,0.00 ,0.00 ,76,71.79 ,0,5
6001,2,2,2,20,Strategic,50.36 ,0.00 ,0.00 ,0.00 ,80,50.36 ,0,5
6001,2,2,3,4,Strategic,6.90 ,3.45 ,5.12 ,5.36 ,16,10.00 ,1,5
6001,2,2,3,6,Strategic,4.88 ,5.12 ,4.76 ,5.60 ,24,5.36 ,1,5
6001,2,2,3,8,Strategic,38.93 ,13.10 ,5.48 ,3.93 ,36,41.31 ,1,5
6001,2,2,3,10,Strategic,49.88 ,12.74 ,4.64 ,4.40 ,40,49.76 ,1,5
6001,2,2,3,12,Strategic,52.98 ,4.64 ,5.00 ,7.74 ,48,54.17 ,1,5
6001,2,2,3,14,Strategic,51.43 ,7.98 ,5.60 ,2.74 ,56,55.00 ,1,5
6001,2,2,3,16,Strategic,68.45 ,4.05 ,8.45 ,8.93 ,64,55.48 ,1,5
6001,2,2,3,18,Strategic,81.67 ,11.31 ,4.17 ,10.12 ,76,82.74 ,1,5
6001,2,2,3,20,Strategic,89.29 ,0.00 ,0.00 ,0.00 ,80,91.79 ,1,5
6004,2,1,1,4,Altruistic,50.00 ,18.33 ,5.19 ,37.04 ,0,24.26 ,1,4
6004,2,1,1,6,Altruistic,55.74 ,42.04 ,4.44 ,36.11 ,0,30.37 ,1,6
6004,2,1,1,8,Altruistic,55.56 ,56.30 ,11.48 ,38.15 ,0,39.07 ,1,8
6004,2,1,1,10,Altruistic,55.56 ,52.96 ,12.59 ,49.26 ,0,44.07 ,1,10
6004,2,1,1,12,Altruistic,62.04 ,62.22 ,27.78 ,60.19 ,0,62.04 ,1,12
6004,2,1,1,14,Altruistic,72.96 ,73.70 ,32.41 ,78.89 ,0,71.67 ,1,14
6004,2,1,1,16,Altruistic,74.81 ,74.44 ,29.81 ,75.74 ,0,74.07 ,1,16
6004,2,1,1,18,Altruistic,80.56 ,79.63 ,38.33 ,79.63 ,0,79.81 ,1,18
6004,2,1,1,20,Altruistic,100.00 ,99.44 ,46.30 ,97.04 ,0,94.26 ,1,20
6004,2,1,2,4,Altruistic,47.41 ,26.85 ,2.41 ,26.85 ,0,37.96 ,1,4
6004,2,1,2,6,Altruistic,57.59 ,43.70 ,3.33 ,39.44 ,0,37.41 ,1,6
6004,2,1,2,8,Altruistic,50.56 ,40.93 ,7.22 ,41.30 ,0,37.22 ,1,8
6004,2,1,2,10,Altruistic,20.93 ,18.52 ,10.74 ,22.04 ,0,34.26 ,1,10
6004,2,1,2,12,Altruistic,63.52 ,62.04 ,26.11 ,56.67 ,0,68.70 ,1,12
6004,2,1,2,14,Altruistic,70.93 ,71.11 ,29.44 ,75.00 ,0,74.81 ,1,14
6004,2,1,2,16,Altruistic,79.44 ,75.00 ,35.74 ,78.33 ,0,74.81 ,1,16
6004,2,1,2,18,Altruistic,81.11 ,82.04 ,34.44 ,82.04 ,0,86.30 ,1,18
6004,2,1,2,20,Altruistic,99.44 ,98.52 ,47.59 ,98.52 ,0,89.44 ,1,20
6004,2,1,3,4,Altruistic,46.48 ,14.81 ,3.15 ,21.67 ,0,17.59 ,1,2
6004,2,1,3,6,Altruistic,49.26 ,30.37 ,2.41 ,30.74 ,0,36.11 ,1,2
6004,2,1,3,8,Altruistic,51.11 ,36.85 ,7.41 ,42.59 ,0,41.11 ,1,3
6004,2,1,3,10,Altruistic,51.30 ,58.70 ,17.41 ,51.85 ,0,44.81 ,1,4
6004,2,1,3,12,Altruistic,67.59 ,64.26 ,26.48 ,61.11 ,0,60.00 ,1,4
6004,2,1,3,14,Altruistic,74.81 ,72.96 ,30.00 ,72.22 ,0,70.00 ,1,5
6004,2,1,3,16,Altruistic,78.52 ,75.37 ,26.48 ,73.70 ,0,78.15 ,1,6
6004,2,1,3,18,Altruistic,89.26 ,81.30 ,41.85 ,87.41 ,0,87.78 ,1,6
6004,2,1,3,20,Altruistic,99.81 ,94.81 ,42.22 ,96.67 ,0,94.07 ,1,7
6004,2,2,1,4,Altruistic,5.00 ,29.44 ,0.00 ,30.93 ,0,18.89 ,1,3
6004,2,2,1,6,Altruistic,57.78 ,54.44 ,16.85 ,20.74 ,0,42.78 ,1,5
6004,2,2,1,8,Altruistic,52.59 ,57.04 ,6.48 ,52.96 ,0,25.56 ,1,8
6004,2,2,1,10,Altruistic,57.96 ,49.81 ,10.37 ,57.59 ,0,45.74 ,1,5
6004,2,2,1,12,Altruistic,72.22 ,69.44 ,24.63 ,68.33 ,0,63.89 ,1,10
6004,2,2,1,14,Altruistic,80.93 ,82.78 ,31.30 ,71.11 ,0,73.33 ,1,14
6004,2,2,1,16,Altruistic,75.19 ,76.85 ,31.11 ,75.74 ,0,64.81 ,1,16
6004,2,2,1,18,Altruistic,87.59 ,90.37 ,32.22 ,89.81 ,0,90.00 ,1,18
6004,2,2,1,20,Altruistic,99.63 ,99.44 ,36.85 ,97.41 ,0,95.37 ,1,20
6004,2,2,2,4,Altruistic,45.19 ,45.00 ,6.30 ,37.04 ,0,32.96 ,1,1
6004,2,2,2,6,Altruistic,53.70 ,52.22 ,7.59 ,40.37 ,0,23.33 ,1,5
6004,2,2,2,8,Altruistic,55.00 ,58.70 ,11.67 ,57.22 ,0,41.11 ,1,8
6004,2,2,2,10,Altruistic,62.78 ,63.33 ,20.56 ,64.26 ,0,53.70 ,1,10
6004,2,2,2,12,Altruistic,68.70 ,62.04 ,18.33 ,63.89 ,0,60.56 ,1,12
6004,2,2,2,14,Altruistic,76.67 ,64.81 ,25.37 ,79.07 ,0,75.74 ,1,14
6004,2,2,2,16,Altruistic,80.00 ,77.59 ,22.59 ,76.85 ,0,76.48 ,1,10
