Subject,Gender,Run,Trial,Partner_cost,PainReduce,Efficiency,Choice,Allocation,Choice_Miss,Allocation_Miss
302,2,2,36,16,12.8,1,0,6,0,0
302,2,2,37,18,14.4,1,0,6,0,0
302,2,2,38,20,16,2,1,18,0,0
302,2,2,39,8,6.4,3,1,5,0,0
302,2,2,40,20,16,3,1,6,0,0
302,2,2,41,8,6.4,1,1,8,0,0
302,2,2,42,4,3.2,3,1,4,0,0
302,2,2,43,14,11.2,3,1,5,0,0
302,2,2,44,4,3.2,2,1,5,0,0
302,2,2,45,14,11.2,1,0,5,0,0
302,2,2,46,18,14.4,2,1,17,0,0
302,2,2,47,8,6.4,2,1,8,0,0
302,2,2,48,4,3.2,1,0,2,0,0
302,2,2,49,6,4.8,3,1,4,0,0
302,2,2,50,6,4.8,1,1,6,0,0
302,2,2,51,12,9.6,3,1,5,0,0
302,2,2,52,16,12.8,3,1,7,0,0
302,2,2,53,10,8,1,1,11,0,0
302,2,2,54,20,16,1,0,8,0,0
302,2,3,55,10,8,3,1,5,0,0
302,2,3,56,18,14.4,3,1,7,0,0
302,2,3,57,12,9.6,1,1,13,0,0
302,2,3,58,16,12.8,1,0,6,0,0
302,2,3,59,8,6.4,3,1,6,0,0
302,2,3,60,20,16,3,1,8,0,0
302,2,3,61,18,14.4,1,0,7,0,0
302,2,3,62,14,11.2,2,1,14,0,0
302,2,3,63,8,6.4,1,1,9,0,0
302,2,3,64,14,11.2,1,0,5,0,0
302,2,3,65,4,3.2,3,1,4,0,0
302,2,3,66,14,11.2,3,1,6,0,0
302,2,3,67,6,4.8,2,1,6,0,0
302,2,3,68,4,3.2,1,1,5,0,0
302,2,3,69,12,9.6,2,1,13,0,0
302,2,3,70,6,4.8,1,1,7,0,0
302,2,3,71,16,12.8,2,1,16,0,0
302,2,3,72,6,4.8,3,1,4,0,0
302,2,3,73,12,9.6,3,1,5,0,0
302,2,3,74,10,8,1,1,10,0,0
302,2,3,75,10,8,2,1,10,0,0
302,2,3,76,20,16,1,0,8,0,0
302,2,3,77,20,16,2,1,18,0,0
302,2,3,78,4,3.2,2,1,4,0,0
302,2,3,79,16,12.8,3,1,6,0,0
302,2,3,80,18,14.4,2,1,16,0,0
302,2,3,81,8,6.4,2,0,8,0,0
303,2,1,1,14,11.2,1,0,6,0,0
