Subject,Cost,PartnerIntention,Gratitude,Guilt,Obligation,Indebtedness,SOB100,Care
313,20,Altruistic,96,23,5,9,0,75
313,20,Strategic,64,13,15,13,80,65
314,6,Altruistic,19,9,6,15,0,19
314,6,Strategic,25,2,0,4,32,7
314,10,Altruistic,79,74,17,11,0,73
314,10,Strategic,49,0,19,12,40,34
314,14,Altruistic,30,44,32,50,0,63
314,14,Strategic,43,17,37,55,60,41
314,18,Altruistic,77,53,35,84,0,71
314,18,Strategic,53,44,62,55,72,60
314,20,Altruistic,100,74,24,98,0,100
314,20,Strategic,55,27,53,70,80,48
315,6,Altruistic,38,35,0,37,0,42
315,6,Strategic,38,34,0,33,24,25
315,10,Altruistic,62,50,0,61,0,58
315,10,Strategic,39,25,0,38,40,38
315,14,Altruistic,59,57,0,50,0,56
315,14,Strategic,48,48,0,31,56,46
315,18,Altruistic,71,70,6,45,0,72
315,18,Strategic,55,48,13,45,72,52
315,20,Altruistic,99,100,0,88,0,98
315,20,Strategic,61,48,0,47,100,53
316,6,Altruistic,15,0,0,5,0,10
316,6,Strategic,10,0,0,0,40,5
316,10,Altruistic,50,0,0,10,0,40
316,10,Strategic,40,0,20,0,56,30
316,14,Altruistic,50,30,0,20,0,50
316,14,Strategic,40,15,10,5,68,35
316,18,Altruistic,70,55,0,50,0,80
316,18,Strategic,50,30,40,20,80,60
316,20,Altruistic,100,80,0,40,0,100
316,20,Strategic,65,20,40,10,88,80
317,6,Altruistic,21,7,9,20,0,12
317,6,Strategic,13,6,13,8,24,17
317,10,Altruistic,52,6,6,41,0,31
317,10,Strategic,21,6,40,21,40,41
317,14,Altruistic,25,26,17,28,0,31
317,14,Strategic,16,16,11,9,56,23
317,18,Altruistic,91,52,26,74,0,62
317,18,Strategic,64,34,33,63,72,42
317,20,Altruistic,95,72,33,76,0,68
317,20,Strategic,60,21,21,52,80,51
318,6,Altruistic,40,30,10,10,0,40
318,6,Strategic,21,10,20,10,28,20
318,10,Altruistic,60,60,20,40,0,70
318,10,Strategic,40,30,30,30,44,60
318,14,Altruistic,70,40,20,30,0,70
318,14,Strategic,45,40,30,20,68,50
318,18,Altruistic,85,40,13,40,0,85
318,18,Strategic,50,30,30,20,88,60
318,20,Altruistic,95,80,10,50,0,95
318,20,Strategic,70,40,40,30,100,70
319,6,Altruistic,40,9,8,8,0,29
319,6,Strategic,23,3,3,4,24,10
319,10,Altruistic,59,10,11,10,0,59
319,10,Strategic,21,5,11,5,40,21
319,14,Altruistic,78,7,5,5,0,74
319,14,Strategic,59,10,11,10,56,50
319,18,Altruistic,82,9,6,5,0,84
319,18,Strategic,79,13,12,14,60,67
319,20,Altruistic,78,11,11,11,0,79
319,20,Strategic,59,7,9,3,72,62
320,6,Altruistic,60,0,0,0,0,30
320,6,Strategic,60,0,0,0,24,15
320,10,Altruistic,80,0,0,0,0,40
320,10,Strategic,60,0,0,0,40,20
320,14,Altruistic,70,0,0,0,0,70
320,14,Strategic,70,0,0,0,48,50
320,18,Altruistic,90,0,0,0,0,90
320,18,Strategic,80,0,0,0,60,60
320,20,Altruistic,100,0,0,0,0,80
320,20,Strategic,80,0,0,0,60,60
321,6,Altruistic,21,7,0,13,0,5
321,6,Strategic,10,3,22,31,48,5
321,10,Altruistic,25,0,0,83,0,22
321,10,Strategic,25,14,80,40,80,20
321,14,Altruistic,73,53,0,80,0,90
321,14,Strategic,86,2,86,63,88,70
321,18,Altruistic,100,20,0,86,0,89
321,18,Strategic,85,3,55,64,96,50
321,20,Altruistic,89,100,0,0,0,100
321,20,Strategic,80,87,78,84,100,41
322,6,Altruistic,38,40,22,20,24,39
322,6,Strategic,19,21,21,20,32,20
322,10,Altruistic,78,36,37,36,40,65
322,10,Strategic,40,42,67,19,52,41
322,14,Altruistic,81,22,22,19,56,82
322,14,Strategic,43,16,62,19,72,58
322,18,Altruistic,85,22,21,20,72,88
322,18,Strategic,48,21,58,20,80,71
322,20,Altruistic,96,59,25,21,80,95
322,20,Strategic,48,47,59,46,100,48
323,6,Altruistic,29,15,17,27,0,32
323,6,Strategic,18,4,4,4,28,10
323,10,Altruistic,60,40,22,41,0,60
323,10,Strategic,20,10,20,9,48,20
323,14,Altruistic,66,60,63,66,0,74
323,14,Strategic,33,22,24,29,68,35
323,18,Altruistic,83,76,74,80,0,87
323,18,Strategic,35,27,26,37,88,36
323,20,Altruistic,92,59,39,98,0,100
323,20,Strategic,61,22,40,21,100,61
324,6,Altruistic,24,16,10,14,20,21
